Run: 0 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.8075941578110863		E: 0: 0.8075941578110863		LAE: 0: 0.008075941578110863	
Run: 0 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.8180679116499566		E: 0: 0.8180679116499566		LAE: 0: 0.01625662069461043	
Run: 0 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.08984410149062548		E: 0: -0.9101558985093745		LAE: 0: 0.025358179679704176	
Run: 0 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.9055955622368989		E: 0: -0.09440443776310115		LAE: 0: 0.026302224057335188	
Run: 1 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.857426357039518		E: 0: 0.857426357039518		LAE: 0: 0.034876487627730365	
Run: 1 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.8716142804966021		E: 0: 0.8716142804966021		LAE: 0: 0.043592630432696386	
Run: 1 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.6260573104951445		E: 0: -0.37394268950485554		LAE: 0: 0.04733205732774494	
Run: 1 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.8704497583270008		E: 0: -0.12955024167299922		LAE: 0: 0.048627559744474934	
Run: 2 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.8008562256332898		E: 0: 0.8008562256332898		LAE: 0: 0.05663612200080783	
Run: 2 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7907799162969845		E: 0: 0.7907799162969845		LAE: 0: 0.06454392116377768	
Run: 2 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.43996217768661716		E: 0: -0.5600378223133828		LAE: 0: 0.07014429938691151	
Run: 2 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.8049400119353778		E: 0: -0.19505998806462221		LAE: 0: 0.07209489926755773	
Run: 3 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7491288086695814		E: 0: 0.7491288086695814		LAE: 0: 0.07958618735425355	
Run: 3 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7146006885714787		E: 0: 0.7146006885714787		LAE: 0: 0.08673219423996834	
Run: 3 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.31951560019666164		E: 0: -0.6804843998033383		LAE: 0: 0.09353703823800172	
Run: 3 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.7558643536151614		E: 0: -0.24413564638483864		LAE: 0: 0.0959783947018501	
Run: 4 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7265734991888575		E: 0: 0.7265734991888575		LAE: 0: 0.10324412969373868	
Run: 4 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.676948247479303		E: 0: 0.676948247479303		LAE: 0: 0.11001361216853171	
Run: 4 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.2876057428106842		E: 0: -0.7123942571893158		LAE: 0: 0.11713755474042487	
Run: 4 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.7310022789094892		E: 0: -0.2689977210905108		LAE: 0: 0.11982753195132997	
Run: 5 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7198769129446312		E: 0: 0.7198769129446312		LAE: 0: 0.12702630108077628	
Run: 5 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.662475415930999		E: 0: 0.662475415930999		LAE: 0: 0.13365105524008628	
Run: 5 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.2885105110138709		E: 0: -0.7114894889861292		LAE: 0: 0.14076595012994755	
Run: 5 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.7172351902141912		E: 0: -0.28276480978580876		LAE: 0: 0.14359359822780565	
Run: 6 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7172983261802391		E: 0: 0.7172983261802391		LAE: 0: 0.15076658148960803	
Run: 6 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6554601687974924		E: 0: 0.6554601687974924		LAE: 0: 0.15732118317758295	
Run: 6 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.2957632093574617		E: 0: -0.7042367906425383		LAE: 0: 0.16436355108400832	
Run: 6 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.7068923522467516		E: 0: -0.2931076477532484		LAE: 0: 0.16729462756154082	
Run: 7 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7152077875757807		E: 0: 0.7152077875757807		LAE: 0: 0.17444670543729862	
Run: 7 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6506820147299164		E: 0: 0.6506820147299164		LAE: 0: 0.1809535255845978	
Run: 7 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.30346771805043776		E: 0: -0.6965322819495623		LAE: 0: 0.18791884840409342	
Run: 7 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6975053681531314		E: 0: -0.30249463184686864		LAE: 0: 0.19094379472256212	
Run: 8 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7128000846695246		E: 0: 0.7128000846695246		LAE: 0: 0.19807179556925736	
Run: 8 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6467536093723226		E: 0: 0.6467536093723226		LAE: 0: 0.20453933166298058	
Run: 8 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.3109801407848435		E: 0: -0.6890198592151565		LAE: 0: 0.21142953025513214	
Run: 8 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6881732965109064		E: 0: -0.3118267034890936		LAE: 0: 0.21454779729002307	
Run: 9 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7098677405360371		E: 0: 0.7098677405360371		LAE: 0: 0.22164647469538346	
Run: 9 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6432394575482044		E: 0: 0.6432394575482044		LAE: 0: 0.2280788692708655	
Run: 9 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.31852017922230436		E: 0: -0.6814798207776956		LAE: 0: 0.23489366747864243	
Run: 9 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6784293776903506		E: 0: -0.3215706223096494		LAE: 0: 0.23810937370173893	
Run: 10 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7063321138007532		E: 0: 0.7063321138007532		LAE: 0: 0.24517269483974646	
Run: 10 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6400171500094767		E: 0: 0.6400171500094767		LAE: 0: 0.2515728663398412	
Run: 10 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.3264414333911738		E: 0: -0.6735585666088262		LAE: 0: 0.2583084520059295	
Run: 10 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6679732055265283		E: 0: -0.3320267944734717		LAE: 0: 0.2616287199506642	
Run: 11 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.7021526186339444		E: 0: 0.7021526186339444		LAE: 0: 0.26865024613700367	
Run: 11 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6371302604719771		E: 0: 0.6371302604719771		LAE: 0: 0.27502154874172346	
Run: 11 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.3351127031756598		E: 0: -0.6648872968243402		LAE: 0: 0.28167042170996687	
Run: 11 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.656605113826386		E: 0: -0.343394886173614		LAE: 0: 0.285104370571703	
Run: 12 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6973113811896631		E: 0: 0.6973113811896631		LAE: 0: 0.29207748438359965	
Run: 12 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6347488130214388		E: 0: 0.6347488130214388		LAE: 0: 0.29842497251381406	
Run: 12 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.3448763178369698		E: 0: -0.6551236821630302		LAE: 0: 0.30497620933544434	
Run: 12 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6442252799210323		E: 0: -0.3557747200789677		LAE: 0: 0.308533956536234	
Run: 13 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6918186352234693		E: 0: 0.6918186352234693		LAE: 0: 0.3154521428884687	
Run: 13 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6331507311359881		E: 0: 0.6331507311359881		LAE: 0: 0.3217836501998286	
Run: 13 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.35599794159500814		E: 0: -0.6440020584049919		LAE: 0: 0.3282236707838785	
Run: 13 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6308621528696107		E: 0: -0.36913784713038933		LAE: 0: 0.3319150492551824	
Run: 14 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6857240577529532		E: 0: 0.6857240577529532		LAE: 0: 0.3387722898327119	
Run: 14 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6326860270712642		E: 0: 0.6326860270712642		LAE: 0: 0.34509915010342457	
Run: 14 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.3685949806602885		E: 0: -0.6314050193397115		LAE: 0: 0.35141320029682166	
Run: 14 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6167081603301954		E: 0: -0.3832918396698046		LAE: 0: 0.3552461186935197	
Run: 15 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.679124368829322		E: 0: 0.679124368829322		LAE: 0: 0.3620373623818129	
Run: 15 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6336997626538413		E: 0: 0.6336997626538413		LAE: 0: 0.3683743600083513	
Run: 15 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.3825606628475177		E: 0: -0.6174393371524822		LAE: 0: 0.3745487533798761	
Run: 15 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.6021358981409598		E: 0: -0.3978641018590402		LAE: 0: 0.3785273943984665	
Run: 16 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.672157424592662		E: 0: 0.672157424592662		LAE: 0: 0.3852489686443931	
Run: 16 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6364152293724569		E: 0: 0.6364152293724569		LAE: 0: 0.3916131209381177	
Run: 16 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.39752369509537555		E: 0: -0.6024763049046244		LAE: 0: 0.39763788398716393	
Run: 16 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5876674159792677		E: 0: -0.41233258402073225		LAE: 0: 0.40176120982737124	
Run: 17 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.664977106432839		E: 0: 0.664977106432839		LAE: 0: 0.40841098089169964	
Run: 17 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.640821857317054		E: 0: 0.640821857317054		LAE: 0: 0.41481919946487017	
Run: 17 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.4128841513290877		E: 0: -0.5871158486709123		LAE: 0: 0.4206903579515793	
Run: 17 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.573887407943564		E: 0: -0.42611259205643603		LAE: 0: 0.42495148387214365	
Run: 18 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6577148835323227		E: 0: 0.6577148835323227		LAE: 0: 0.4315286327074669	
Run: 18 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6466399076088298		E: 0: 0.6466399076088298		LAE: 0: 0.4379950317835552	
Run: 18 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.42793086492311777		E: 0: -0.5720691350768823		LAE: 0: 0.443715723134324	
Run: 18 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5613250776611471		E: 0: -0.43867492233885286		LAE: 0: 0.44810247235771256	
Run: 19 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6504462227450089		E: 0: 0.6504462227450089		LAE: 0: 0.45460693458516266	
Run: 19 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6533996516944639		E: 0: 0.6533996516944639		LAE: 0: 0.4611409311021073	
Run: 19 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.4419956132084159		E: 0: -0.558004386791584		LAE: 0: 0.46672097497002313	
Run: 19 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5503535057155359		E: 0: -0.4496464942844641		LAE: 0: 0.4712174399128678	
Run: 20 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6431799124582032		E: 0: 0.6431799124582032		LAE: 0: 0.4776492390374498	
Run: 20 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6605920129277509		E: 0: 0.6605920129277509		LAE: 0: 0.48425515916672734	
Run: 20 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.4545795787693111		E: 0: -0.5454204212306889		LAE: 0: 0.48970936337903426	
Run: 20 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5411462493682929		E: 0: -0.4588537506317071		LAE: 0: 0.4942979008853513	
Run: 21 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6358731996311695		E: 0: 0.6358731996311695		LAE: 0: 0.500656632881663	
Run: 21 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6678031190823095		E: 0: 0.6678031190823095		LAE: 0: 0.5073346640724861	
Run: 21 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.46541249451004424		E: 0: -0.5345875054899558		LAE: 0: 0.5126805391273856	
Run: 21 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5336963211666563		E: 0: -0.46630367883334367		LAE: 0: 0.5173435759157191	
Run: 22 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6284596940757545		E: 0: 0.6284596940757545		LAE: 0: 0.5236281728564767	
Run: 22 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.674777127358539		E: 0: 0.674777127358539		LAE: 0: 0.5303759441300621	
Run: 22 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.47444547493632977		E: 0: -0.5255545250636702		LAE: 0: 0.5356314893806987	
Run: 22 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5278724468284307		E: 0: -0.4721275531715693		LAE: 0: 0.5403527649124144	
Run: 23 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.620873780788746		E: 0: 0.620873780788746		LAE: 0: 0.5465615027203018	
Run: 23 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6814106741561946		E: 0: 0.6814106741561946		LAE: 0: 0.5533756094618637	
Run: 23 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.4818032788320379		E: 0: -0.5181967211679621		LAE: 0: 0.5585575766735433	
Run: 23 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5234808878273541		E: 0: -0.47651911217264586		LAE: 0: 0.5633227677952698	
Run: 24 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.6130628302879824		E: 0: 0.6130628302879824		LAE: 0: 0.5694533960981496	
Run: 24 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.6877122197631346		E: 0: 0.6877122197631346		LAE: 0: 0.576330518295781	
Run: 24 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.4877241170972177		E: 0: -0.5122758829027823		LAE: 0: 0.5814532771248088	
Run: 24 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5203130511802754		E: 0: -0.4796869488197246		LAE: 0: 0.586250146613006	
Run: 25 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.604987048985359		E: 0: 0.604987048985359		LAE: 0: 0.5842240755247488	
